6,1
4,1
6,2
4,2
5,3
3,3
3,4
5,4
5,5
3,5
10,6
9,6
10,7
9,7
9,8
10,8
5,9
8,9
8,10
5,10
5,11
8,11
9,12
1,12
1,13
9,13
1,14
9,14
4,15
2,15
2,16
4,16
4,17
2,17
3,18
10,18
3,19
10,19
10,20
3,20
8,21
1,21
8,22
1,22
7,23
9,23
9,24
7,24
7,25
9,25
10,26
5,26
10,27
5,27
3,28
2,28
3,29
2,29
2,30
3,30
7,31
4,31
7,32
4,32
7,33
4,33
6,34
10,34
10,35
6,35
10,36
6,36
8,37
9,37
8,38
9,38
8,39
9,39
7,40
2,40
2,41
7,41
8,42
4,42
4,43
8,43
10,44
7,44
7,45
10,45
1,46
5,46
1,47
5,47
9,48
6,48
9,49
6,49
2,50
8,50
8,51
2,51
1,52
10,52
10,53
1,53
3,54
4,54
3,55
4,55
2,56
5,56
5,57
2,57
7,58
6,58
6,59
7,59
10,60
2,60
10,61
2,61
2,62
10,62
6,63
8,63
8,64
6,64
8,65
6,65
1,66
4,66
1,67
4,67
6,68
5,68
6,69
5,69
6,70
5,70
8,71
10,71
10,72
8,72
8,73
10,73
7,74
3,74
3,75
7,75
3,76
7,76
2,77
9,77
2,78
9,78
9,79
2,79
5,80
4,80
4,81
5,81
5,82
4,82
1,83
7,83
7,84
1,84
9,85
4,85
4,86
9,86
6,87
3,87
6,88
3,88
6,89
3,89
2,90
1,90
1,91
2,91
1,92
2,92
9,93
3,93
9,94
3,94
8,95
7,95
7,96
8,96
7,97
8,97
1,98
6,98
1,99
6,99
3,100
8,100
8,101
3,101
3,102
8,102
9,103
5,103
9,104
5,104
6,105
2,105
2,106
6,106
6,107
2,107
4,108
10,108
4,109
10,109
3,110
1,110
3,111
1,111
7,112
5,112
7,113
5,113
7,114
5,114
9,115
10,115
2,116
10,116
5,117
4,117
1,118
7,118
7,119
4,119
1,120
5,120
7,121
5,121
7,122
1,122
7,123
5,123
7,124
5,124
7,125
5,125
6,126
1,126
1,127
6,127
8,128
3,128
3,129
8,129
8,130
3,130
1,131
5,131
1,132
5,132
3,133
4,133
3,134
4,134
5,135
4,135
4,136
5,136
4,137
5,137
6,138
8,138
8,139
6,139
8,140
4,140
8,141
4,141
8,142
4,142
6,143
4,143
6,144
4,144
6,145
4,145
4,146
6,146
6,147
4,147
